City;Area;Region;Branch;Branch Mapping;Validation
PATI;AREA 3;08.JATENG-DIY;SEMARANG;SEMARANG;TRUE
PAYAKUMBUH;AREA 1;02.SUMBAGTENG;;#N/A;#N/A
PAYAKUMBUH;AREA 1;02.SUMBAGTENG;BUKIT TINGGI;#N/A;#N/A
PEKALONGAN;AREA 3;08.JATENG-DIY;PANTURA;PEKALONGAN;FALSE
PEKALONGAN;AREA 3;08.JATENG-DIY;PEKALONGAN;PEKALONGAN;TRUE
PEKANBARU;AREA 1;02.SUMBAGTENG;ROKAN HULU;#N/A;#N/A
PELALAWAN;AREA 1;02.SUMBAGTENG;GREATER PEKANBARU;PEKANBARU;FALSE
PELALAWAN;AREA 1;02.SUMBAGTENG;PEKANBARU;PEKANBARU;TRUE
PEMALANG;AREA 3;08.JATENG-DIY;PEKALONGAN;PEKALONGAN;TRUE
PENAJAM PASER UTARA;AREA 4;11.KALIMANTAN;BALIKPAPAN;BALIKPAPAN;TRUE
